Vegetable	Onion (양파)	kg
Vegetable	Potato (감자)	kg
Vegetable	Ginger (생강)	kg
Vegetable	Garlic (마늘)	kg
Vegetable	Green Onion (대파)	kg
Vegetable	Carrot (당근)	kg
Vegetable	Cucumber (오이)	kg
Vegetable	Cabbage (배추)	kg
Vegetable	King Oyster Mushroom (새송이버섯)	kg
Vegetable	Green Chili (청양고추)	kg
Vegetable	Lettuce (상추)	kg
Vegetable	Broccoli (브로콜리)	kg
Vegetable	Cauliflower (콜리플라워)	kg
Seafood	Squid (오징어)	kg
Seafood	Seafood Mix (해물모둠)	kg
Meat	Pork Belly (삼겹살)	kg
Meat	Chicken Drumstick (닭다리살)	kg
Meat	Beef (소고기)	kg
Meat	Pork Shoulder (목살)	kg
Meat	Chicken Breast (닭가슴살)	kg
Rice	Rice (쌀)	20kg
Flour	Maida Flour (중력분)	20kg
Flour	Corn Starch (옥수수전분)	kg
Seasonings	Salt (소금)	kg
Seasonings	Sugar (설탕)	kg
Seasonings	MSG (미원)	kg
Seasonings	Turmeric Powder (강황가루)	kg
Seasonings	Chili Powder (고춧가루)	kg
Seasonings	Cumin Powder (큐민가루)	kg
Seasonings	Coriander Powder (고수가루)	kg
Dairy	Milk (우유)	L
Dairy	Paneer Cheese (파니르치즈)	kg
Dairy	Curd (요거트)	kg
Soups	Chicken Stock (치킨스톡)	kg
Sauces	Ketchup (케첩)	kg
Sauces	Soya Sauce (간장)	L
Sauces	Vinegar (식초)	L
Desserts	Spring Roll Pastry (스프링롤피)	kg
Beverages	Coke (콜라)	box
Beverages	Water (생수)	box
Supplies	Napkin (냅킨)	box
Supplies	Detergent (세제)	kg
Fruit	Fruit Mixed (과일모둠)	kg
